region_acronym,M145,M146,M149
mct,0.0,0.0,0.0
mfb,0.0,0.0,1.0986122886681098
mfbc,0.0,0.0,0.0
mfbs,0.0,0.0,0.0
mfbse,0.0,0.0,0.0
mfbsm,0.0,0.0,0.0
mfbsma,0.0,0.0,0.0
mfbst,0.0,0.0,0.0
mfsbshy,0.0,0.0,0.0
ml,0.0,0.0,0.0
mlf,0.0,0.0,0.0
moV,0.0,0.0,0.0
mp,0.0,0.0,0.0
mtV,0.0,0.0,0.0
mtc,0.0,0.0,0.0
mtg,0.0,0.0,0.0
mtt,0.0,0.6931471805599453,0.0
nf,0.0,0.0,0.0
nst,0.0,0.6931471805599453,0.0
ntt,0.0,0.0,0.0
och,0.0,0.0,0.0
oct,0.0,0.0,0.0
opt,0.0,2.302585092994046,0.0
or,1.0986122886681098,0.6931471805599453,0.0
pap,0.0,0.0,0.0
pc,0.0,0.0,0.0
pce,0.0,0.0,0.0
pcf,0.0,0.0,0.0
per,0.0,0.0,0.0
pfs,0.0,0.0,0.0
php,0.0,0.0,0.0
phpd,0.0,0.0,0.0
phpl,0.0,0.0,0.0
phpm,0.0,0.0,0.0
phpv,0.0,0.0,0.0
plf,0.0,0.0,0.0
pm,0.0,0.0,0.0
pms,0.0,0.0,0.0
pmx,0.0,0.0,0.0
poc,0.0,0.0,0.0
ppf,0.0,0.0,0.0
pri,0.0,0.0,0.0
psf,0.0,0.0,0.0
ptf,0.0,0.0,0.0
pvbh,0.0,0.0,0.0
pvbt,0.0,0.0,0.0
py,0.0,0.0,0.0
pyd,0.0,0.0,0.0
rct,0.0,0.0,0.0
retina,0.0,0.0,0.0
rf,0.0,0.0,0.0
ri,0.0,0.0,0.0
root,1.3862943611198906,2.0794415416798357,2.1972245773362196
rrt,0.0,0.0,0.0
rst,0.0,0.0,0.0
rstl,0.0,0.0,0.0
rstm,0.0,0.0,0.0
rust,0.0,0.0,0.0
sAMY,0.0,0.0,0.0
sV,0.0,0.0,0.0
scp,0.0,0.0,0.0
scrt,0.0,0.0,0.0
